,Unnamed: 0,id,screen_name,description,created_at,location,is_verified,latest_following_count,latest_followers_count,latest_status_count,array_agg,num_tweets
0,0,2962813893,RepStefanik,"Official Twitter Account for Congresswoman Elise Stefanik, proudly representing New York's 21st District.",2015-01-05 22:17:51,,t,246,9499,2082,"{congressperson,republican,republican}",2108.0
1,1,1058256326,RepChrisCollins,Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce,2013-01-03 16:55:01,,t,587,10874,2916,"{congressperson,republican,republican}",2935.0
2,2,17494010,SenSchumer,Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement,2008-11-19 20:10:20,"New York, NY",t,26578,522353,10076,"{senator,democrat,democrat}",4630.0
3,3,2955485182,SenatorRounds,U.S. Senator for South Dakota,2015-01-01 20:23:49,"Pierre, South Dakota",t,542,11180,1622,"{senator,republican,republican}",1648.0
4,4,339852137,SupJaniceHahn,Proudly representing the 4th District of Los Angeles County on the Board of Supervisors.,2011-07-21 19:22:22,"San Pedro, CA",t,1738,13050,4218,"{congressperson,democrat}",3646.0
5,5,90484508,GovChristie,Official Twitter Account of the 55th Governor of New Jersey. Husband and proud father of four.,2009-11-16 21:08:09,"Trenton, NJ",t,616,843266,8673,"{republican,governor,republican}",3495.0
6,6,248699486,RepJeffDenham,Working for the people of California's 10th district in the U.S. House of Representatives. http://t.co/8CkNyoIDFU,2011-02-07 15:01:35,"Modesto, CA",t,1642,15305,2415,"{congressperson,republican,republican}",2418.0
7,7,16583468,RepMikeHonda,Former Congressman for 17th District of California and Silicon Valley (2001-2017),2008-10-03 20:18:31,"Santa Clara, CA",t,1069,24807,2930,"{congressperson,democrat}",2929.0
8,8,235312723,DesJarlaisTN04,Republican Congressman for Tennessee's 4th Congressional District.,2011-01-07 21:47:44,,t,1140,11975,3058,"{congressperson,republican,republican}",3071.0
9,9,607332953,WVGovernor,Jim Justice is the 36th Governor of the State of West Virginia. Account run by the Governor's Office. Tweets from Governor Justice signed -JJ.,2012-06-13 16:08:01,"Charleston, WV",t,125,19783,3671,"{governor,democrat}",3724.0
10,10,21406834,SenMarkey,"Official account for Senator Edward J. Markey. National leader on energy, environment, climate, telecom. Voice for consumer protection. https://t.co/nfYWzVp6R8",2009-02-20 15:49:29,"Malden, MA",t,802,53060,8681,"{senator,democrat,democrat}",4578.0
11,11,194233791,GovMaryFallin,Official Twitter account of Oklahoma Governor Mary Fallin.,2010-09-23 19:06:46,Oklahoma,t,357,29426,4715,"{governor,republican}",3610.0
13,13,21157904,SenatorBurr,"U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence",2009-02-18 01:53:03,"Winston-Salem, NC",t,1990,56998,3047,"{senator,republican,republican}",3052.0
14,14,2964526557,RepAlexMooney,Official account for Congressman Alex Mooney representing the 2nd district of West Virginia. Congressman Mooney serves on the House Financial Services Committee,2015-01-06 17:13:10,,t,443,4355,931,"{congressperson,republican,republican}",946.0
15,15,1069124515,RepLaMalfa,"Representing California's First District including Siskiyou, Shasta, Tehama, Butte, Glenn, Modoc, Lassen, Plumas, Sierra, Nevada and Placer Counties",2013-01-07 20:07:58,Northern California,f,984,6333,348,"{congressperson,republican,republican}",348.0
16,16,23593446,davidcicilline,Serving Rhode Island's First District in Congress. Co-Chair of DPCC. #Resist,2009-03-10 13:53:21,,t,4876,25402,13397,"{congressperson,democrat,democrat}",4759.0
17,17,124224165,RepFredUpton,"Husband, Dad, and proud to represent Michigan's 6th District. Chairman of the Subcommittee on Energy.",2010-03-18 17:34:35,"St. Joseph, Michigan",t,2347,19272,4234,"{congressperson,republican,republican}",3574.0
18,18,16789970,SenatorReid,Former Senator from the great state of Nevada.,2008-10-15 19:42:08,"Searchlight, NV",t,160,449622,4032,"{senator,democrat,democrat}",3248.0
19,19,231510077,JoaquinCastrotx,"Texas Congressman, Member of the House Foreign Affairs and House Intelligence Committees",2010-12-28 18:41:02,"San Antonio, Texas",t,890,71186,7870,"{congressperson,democrat,democrat}",4334.0
